Client,Industry,Platform,Content_Type,Content_Topic,Posting_Day,Posting_Time,Reach,Impressions,Likes,Comments,Shares,Saves,Video_Views,Watch_Time,Clicks,Leads,Ad_Spend,Revenue,Performance_Score
Client_8,Technology,LinkedIn,Carousel,Promotion,Saturday,15:00,26662,32178,1718,69,9,357,16128,60973,1706,108,6817.28,23791.93,71.35
Client_17,Education,TikTok,Carousel,Tutorial,Thursday,21:00,37152,71589,1344,85,145,159,20057,69061,2416,339,11889.65,14304.41,59.85
Client_8,Fashion,LinkedIn,Image,Behind the Scenes,Thursday,15:00,84988,167674,1786,231,193,114,45798,141214,6873,1182,14036.33,71824.09,65.47
Client_19,Education,Instagram,Article,Entertainment,Thursday,09:00,9394,16989,77,7,14,16,713,3378,625,115,14428.42,14557.32,47.66
Client_4,Fashion,Facebook,Video,Customer Story,Friday,21:00,9265,9795,533,26,66,75,5141,3693,796,159,8609.08,12243.64,74.95
Client_15,Technology,Instagram,Image,Product Education,Wednesday,21:00,77534,133637,1126,55,36,88,23622,112458,3985,286,13411.81,99427.34,54.46
Client_4,Food,TikTok,Carousel,Behind the Scenes,Monday,15:00,84036,103904,1257,181,9,224,73754,719,7693,38,19121.37,99150.59,50.09
Client_13,Finance,YouTube,Video,Tutorial,Wednesday,13:00,25347,50567,1609,227,25,432,9406,4890,282,24,8327.09,44457.24,61.34
Client_17,Technology,Facebook,Article,Customer Story,Thursday,09:00,29270,29957,1365,196,100,172,21623,25467,2506,71,8519.3,30258.69,66.19
Client_1,Healthcare,Instagram,Article,Behind the Scenes,Tuesday,17:00,5697,11020,850,87,141,26,1950,4846,365,19,15483.79,82120.42,75.24
Client_17,Technology,Facebook,Image,Tips,Sunday,17:00,61908,76615,214,8,49,29,14285,1729,2616,405,4498.44,18770.59,50.29
Client_10,Fashion,TikTok,Video,Promotion,Friday,19:00,31765,56076,4206,61,468,905,7186,4673,3037,433,15308.24,60722.69,84.1
Client_13,Finance,Facebook,Image,Tips,Tuesday,19:00,32690,59007,570,16,28,40,263,1126,1303,208,13910.26,84827.87,57.49
Client_18,Fashion,TikTok,Image,Tips,Thursday,11:00,66786,109019,99,14,8,15,10392,37210,4872,131,8284.97,7888.66,30.71
Client_5,Food,LinkedIn,Reel,Tutorial,Wednesday,09:00,29372,57000,492,47,89,145,900,4445,800,159,9333.35,40199.02,55.18
Client_5,Finance,Instagram,Video,Promotion,Friday,17:00,3565,6489,162,16,26,29,1474,4250,303,38,9421.24,25577.2,70.94
Client_20,Fashion,YouTube,Image,Entertainment,Saturday,09:00,49919,53899,3844,276,928,348,13445,23160,2213,222,16514.38,69387.08,76.91
Client_1,Technology,TikTok,Image,Product Education,Saturday,19:00,73570,97758,4516,306,1021,409,58237,282306,2139,122,13826.81,42716.26,62.51
Client_2,Food,LinkedIn,Reel,Behind the Scenes,Thursday,21:00,86403,103004,6107,778,524,1188,24249,87382,1280,52,914.09,5508.17,62.22
Client_8,Healthcare,Instagram,Image,Entertainment,Friday,19:00,87445,92911,12396,766,713,446,826,212,7200,163,2891.58,8777.94,72.35
Client_18,Technology,Instagram,Article,Entertainment,Monday,11:00,2191,2399,296,41,23,81,577,2677,167,28,15881.03,69879.49,87.8
Client_6,Fashion,YouTube,Carousel,Entertainment,Wednesday,15:00,53528,74159,2518,52,382,455,35243,156031,387,52,7747.62,32184.11,58.38
Client_17,Finance,Instagram,Image,Customer Story,Saturday,09:00,7579,13786,1049,10,203,205,6734,33144,490,94,11575.82,47675.23,82.66
Client_7,Food,LinkedIn,Image,Tutorial,Monday,21:00,98423,164823,4168,573,60,551,68310,282833,9266,986,8885.51,58382.43,75.21
Client_6,Fashion,TikTok,Article,Tips,Tuesday,17:00,55262,97048,4707,39,441,554,36456,152993,5452,608,14971.49,63484.16,79.88
Client_5,Education,Instagram,Article,Tutorial,Sunday,17:00,42373,83845,1676,55,176,108,14830,33676,778,143,18801.7,32512.15,53.14
Client_11,Education,YouTube,Carousel,Promotion,Tuesday,11:00,65124,83478,865,104,192,72,10175,39712,6495,193,16644.6,49888.54,50.92
Client_17,Technology,Instagram,Reel,Tutorial,Tuesday,17:00,18328,32335,2362,349,221,178,946,2445,1678,314,2112.45,7381.56,84.11
Client_17,Technology,TikTok,Video,Promotion,Tuesday,09:00,91782,134129,9142,686,2003,1160,86966,115971,6774,612,19164.86,148475.57,83.94
Client_17,Education,LinkedIn,Article,Tips,Wednesday,11:00,29551,43748,3351,148,171,394,28284,64858,578,30,12227.91,73515.87,66.77
Client_12,Healthcare,TikTok,Article,Promotion,Saturday,17:00,14753,26764,2181,92,220,248,11314,33093,699,135,5703.26,44596.09,84.06
Client_11,Fashion,TikTok,Reel,Tutorial,Wednesday,11:00,27418,38877,2066,245,142,206,17640,14492,1625,318,9700.12,59449.75,82.71
Client_6,Education,TikTok,Carousel,Entertainment,Thursday,15:00,58671,92202,8644,925,1405,324,47621,141092,910,92,19900.68,94620.43,69.52
Client_15,Fashion,Facebook,Reel,Promotion,Sunday,21:00,39092,44952,2060,194,505,548,34235,31477,155,5,14659.33,89431.4,53.55
Client_16,Finance,Instagram,Image,Tutorial,Wednesday,21:00,33240,61253,2512,195,364,219,23600,36436,119,21,19690.4,57941.18,59.95
Client_13,Food,Instagram,Video,Entertainment,Wednesday,21:00,15525,20889,1937,218,211,253,4759,1495,896,158,2128.19,3877.91,77.93
Client_2,Food,Facebook,Carousel,Tutorial,Wednesday,11:00,60786,107656,1438,203,143,378,12855,38293,4124,2,16550.66,125509.42,52.96
Client_13,Food,TikTok,Article,Promotion,Sunday,13:00,58901,60155,3733,279,536,571,50151,25760,5203,746,983.34,5481.08,84.15
Client_12,Food,LinkedIn,Image,Product Education,Tuesday,11:00,18495,32457,2684,127,625,745,16605,74183,749,89,10760.07,18839.4,70.6
Client_18,Fashion,Facebook,Reel,Product Education,Wednesday,21:00,59285,99239,58,8,12,11,2350,2030,5688,982,17949.85,73107.28,52.8
Client_7,Fashion,Facebook,Article,Customer Story,Saturday,19:00,32466,57896,3643,5,695,407,19250,74192,2268,312,5287.14,26210.62,81.98
Client_2,Healthcare,LinkedIn,Article,Customer Story,Monday,21:00,3579,7065,81,5,14,15,1069,2403,144,18,17023.98,121553.49,61.37
Client_16,Finance,Instagram,Reel,Behind the Scenes,Thursday,11:00,36832,41628,2593,150,404,20,18690,67579,2407,256,2206.89,11920.24,79.62
Client_9,Education,Instagram,Video,Product Education,Sunday,19:00,46631,90971,4315,309,670,1073,25618,9578,65,8,1792.93,11743.52,65.12
Client_13,Healthcare,YouTube,Article,Customer Story,Saturday,11:00,66068,76089,530,33,60,53,16122,12596,1097,6,10542.12,24845.72,26.24
Client_16,Fashion,Facebook,Reel,Entertainment,Monday,17:00,28528,41108,2137,139,10,104,1210,215,1521,209,5484.67,18050.17,73.79
Client_4,Fashion,Facebook,Video,Tips,Sunday,11:00,72056,127910,514,56,15,19,60734,11878,4321,514,15527.31,86929.34,52.84
Client_6,Food,Instagram,Article,Promotion,Thursday,11:00,21346,36241,2116,276,125,385,3933,5475,1105,104,16118.44,55431.54,74.01
Client_18,Healthcare,Instagram,Article,Behind the Scenes,Saturday,13:00,81850,123190,959,31,135,36,22841,32663,2043,305,12417.48,50483.81,48.93
Client_5,Technology,TikTok,Carousel,Customer Story,Thursday,21:00,62304,82929,5168,344,111,1038,5671,14798,1649,93,6306.98,21417.18,64.55
Client_8,Technology,Facebook,Article,Promotion,Friday,09:00,93143,168165,4960,640,147,1437,85765,347252,2636,520,7862.59,49795.46,71.89
Client_9,Technology,YouTube,Reel,Behind the Scenes,Monday,11:00,37684,60462,304,39,48,62,18317,28162,2441,17,15949.27,60089.82,39.84
Client_12,Education,YouTube,Carousel,Tips,Monday,17:00,91607,98166,6516,394,636,959,60522,185342,7042,1241,5840.9,5127.52,73.98
Client_2,Education,TikTok,Video,Customer Story,Monday,21:00,7824,10529,1099,159,143,113,1656,3138,299,34,7260.46,18940.57,74.32
Client_20,Fashion,TikTok,Carousel,Tutorial,Wednesday,11:00,81295,89658,9695,580,367,1082,26777,55290,2082,138,2123.43,15213.76,74.45
Client_19,Technology,LinkedIn,Video,Customer Story,Friday,21:00,56508,106725,6976,917,1383,974,29649,135415,2160,257,8330.07,15355.72,69.2
Client_20,Fashion,TikTok,Video,Behind the Scenes,Friday,13:00,27858,49769,2719,134,423,213,2855,4796,499,6,10234.56,76962.19,58.98
Client_3,Education,TikTok,Article,Product Education,Monday,15:00,35043,51682,4403,219,218,908,8605,28840,1581,18,8495.7,47378.35,67.36
Client_2,Healthcare,YouTube,Video,Customer Story,Friday,13:00,12778,14757,1407,19,255,403,10066,6989,213,24,17175.99,16983.07,62.7
Client_2,Healthcare,YouTube,Article,Tips,Thursday,21:00,53440,90083,4147,612,555,1232,28304,107198,2290,455,12903.43,37686.62,74.96
Client_7,Finance,LinkedIn,Carousel,Promotion,Wednesday,13:00,7381,9373,1027,22,15,79,1947,3012,657,87,13384.0,60946.05,85.77
Client_16,Food,Facebook,Image,Tips,Friday,21:00,87305,137504,6933,574,1448,1603,17833,32444,5628,77,17590.77,134028.26,70.66
Client_8,Education,Facebook,Image,Promotion,Monday,17:00,16430,22332,2019,166,332,556,868,2511,437,45,2680.06,12432.55,74.36
Client_12,Food,Facebook,Article,Tips,Wednesday,09:00,40832,70199,2626,71,39,372,4460,8148,1823,211,16321.24,16157.71,61.52
Client_9,Food,LinkedIn,Article,Promotion,Thursday,21:00,38627,74893,2561,105,407,130,30417,128789,3823,245,13844.56,23013.44,66.6
Client_20,Fashion,TikTok,Video,Entertainment,Wednesday,17:00,3792,5032,310,19,73,53,1209,1296,100,10,9375.26,43844.06,71.99
Client_13,Finance,Instagram,Article,Promotion,Monday,17:00,44424,86668,4019,42,112,579,24292,62164,1608,199,16803.37,124017.65,74.99
Client_15,Technology,TikTok,Image,Entertainment,Saturday,21:00,81665,141213,6134,284,767,1224,42678,196096,4913,298,12962.52,20883.22,64.96
Client_13,Finance,LinkedIn,Reel,Behind the Scenes,Wednesday,17:00,7429,10391,973,72,84,160,2235,8001,492,4,13032.25,90840.18,72.18
Client_15,Fashion,TikTok,Video,Customer Story,Monday,17:00,33820,55384,1174,171,216,5,6687,285,1401,60,18500.65,98171.55,58.36
Client_18,Education,TikTok,Video,Promotion,Sunday,19:00,94852,154363,6955,484,1029,348,67375,124822,6179,708,19691.76,72579.26,75.23
Client_9,Finance,Instagram,Carousel,Customer Story,Wednesday,19:00,35896,60894,3838,142,866,592,1903,6724,3349,318,3036.68,5315.58,75.3
Client_14,Technology,Facebook,Carousel,Behind the Scenes,Friday,09:00,37319,51346,3997,576,406,1029,15810,29495,2109,103,10594.37,81197.53,78.44
Client_5,Technology,YouTube,Video,Product Education,Thursday,17:00,22659,40839,2506,324,186,158,13624,67513,2250,236,6605.47,33844.54,82.94
Client_18,Food,TikTok,Reel,Customer Story,Tuesday,15:00,94358,116688,4759,320,457,612,47732,161664,4292,549,18189.93,126753.55,75.61
Client_16,Education,TikTok,Video,Behind the Scenes,Monday,15:00,6497,8823,293,34,38,67,6085,8791,264,23,2069.53,11653.13,69.9
Client_9,Healthcare,TikTok,Reel,Product Education,Wednesday,17:00,48693,80116,2680,391,165,649,16580,7528,2339,92,19565.89,57847.34,61.67
Client_13,Food,Facebook,Image,Product Education,Saturday,17:00,56195,65567,610,23,10,63,22830,30893,600,13,1789.51,10406.74,34.42
Client_5,Food,LinkedIn,Image,Tips,Thursday,19:00,53641,73040,1286,125,60,81,3836,16568,2309,0,958.13,1162.84,36.9
Client_13,Education,Instagram,Image,Promotion,Monday,09:00,63802,97961,2335,138,547,692,43789,196344,5979,158,1883.62,7904.39,64.42
Client_16,Healthcare,TikTok,Reel,Promotion,Saturday,15:00,50702,69084,663,59,58,116,34817,56170,254,18,14441.8,36714.88,34.46
Client_11,Fashion,YouTube,Image,Entertainment,Sunday,19:00,78268,112666,4989,65,324,191,15834,19062,3329,251,17466.94,95639.29,69.35
Client_18,Food,TikTok,Reel,Tips,Tuesday,21:00,82940,116898,5267,295,1173,1116,68939,114535,83,7,8429.8,46838.51,58.36
Client_13,Fashion,YouTube,Carousel,Entertainment,Tuesday,19:00,98846,137148,4921,286,365,39,28573,61174,5083,316,16690.75,104087.21,68.08
Client_19,Technology,Facebook,Image,Entertainment,Sunday,15:00,23520,25779,403,9,100,41,435,2166,418,34,17758.11,69695.72,48.84
Client_18,Education,Instagram,Reel,Tips,Sunday,15:00,94693,114074,11337,951,2020,3121,10428,22977,3270,54,14352.18,100382.15,69.75
Client_1,Finance,TikTok,Image,Behind the Scenes,Saturday,11:00,42291,81180,2198,130,393,475,34086,107878,304,32,16355.85,21357.81,50.42
Client_6,Healthcare,TikTok,Image,Customer Story,Monday,21:00,71974,138530,9485,1004,415,2069,39050,181331,2628,169,12421.95,94100.95,73.8
Client_9,Education,YouTube,Video,Tutorial,Tuesday,11:00,88342,173623,5343,745,330,1390,47874,31215,5894,307,18513.66,114471.35,71.27
Client_19,Education,LinkedIn,Article,Tips,Saturday,19:00,14182,21799,1738,48,331,403,5084,9229,74,8,5144.33,18762.38,63.46
Client_1,Food,Facebook,Carousel,Customer Story,Wednesday,17:00,64026,81392,1979,190,93,580,16895,48695,5637,703,19024.46,101009.65,73.6
Client_2,Food,YouTube,Reel,Behind the Scenes,Thursday,15:00,61334,105896,5427,16,52,1161,49717,86303,4785,321,10399.75,45131.44,75.06
Client_18,Fashion,Instagram,Video,Tutorial,Wednesday,11:00,34507,66564,4739,128,580,1360,23833,104244,3414,555,17673.32,130601.93,89.03
Client_12,Fashion,LinkedIn,Carousel,Customer Story,Sunday,17:00,99858,189581,7827,22,1637,1626,37487,103862,8122,1024,13754.07,17499.35,71.54
Client_13,Finance,YouTube,Image,Product Education,Wednesday,13:00,68272,118349,7408,290,1621,1613,19391,64765,4818,446,11025.12,79421.69,82.55
Client_8,Technology,LinkedIn,Image,Tutorial,Thursday,13:00,20068,21047,2235,234,192,397,18397,47893,147,19,14126.27,59601.13,67.59
Client_1,Fashion,Facebook,Video,Product Education,Monday,21:00,13112,15040,1754,5,406,223,12188,57664,90,0,12287.86,59636.91,52.66
Client_19,Finance,LinkedIn,Video,Tips,Sunday,21:00,21897,29785,2086,205,510,39,7238,12942,10,1,4475.58,17276.66,59.31
Client_3,Healthcare,Instagram,Image,Customer Story,Thursday,13:00,60258,64403,5511,167,635,1373,44471,13141,3019,247,4694.38,5348.71,69.79
Client_2,Technology,Facebook,Image,Tips,Tuesday,19:00,18551,27495,1737,96,187,25,2568,4903,1159,209,10669.7,62049.04,83.23
Client_3,Fashion,TikTok,Image,Tips,Sunday,09:00,64633,90418,4976,429,724,1124,14255,14231,5001,183,19860.37,88977.22,73.15
Client_18,Healthcare,TikTok,Carousel,Behind the Scenes,Monday,11:00,81331,154115,1154,106,140,150,34431,118029,5530,239,9482.64,31087.28,48.07
Client_15,Education,Instagram,Carousel,Tutorial,Sunday,21:00,25305,48944,2093,212,399,37,11639,24891,2246,431,6820.12,22701.94,80.06
Client_9,Food,LinkedIn,Carousel,Product Education,Wednesday,11:00,18405,32600,1934,122,483,403,18089,42549,1341,159,7424.57,10977.03,73.86
Client_12,Education,Facebook,Carousel,Product Education,Tuesday,11:00,88621,151866,11103,1184,1738,1205,4269,15521,5793,491,2396.94,15843.93,81.1
Client_19,Food,Instagram,Article,Product Education,Thursday,17:00,84835,159566,2717,255,109,256,37923,113487,6050,253,9630.68,74769.39,62.27
Client_16,Education,TikTok,Carousel,Tips,Monday,09:00,93894,158837,9043,942,1413,2667,10174,15504,3998,479,18681.08,17173.09,67.08
